# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	8.052400e-02	8	1.000000e+00	5.991200e-02	2	9.999990e-01	8.415270e-02	2	false	smoothSolver	1.000000e+00	4.062920e-02	3	true	smoothSolver	2.513150e-02	1.950930e-03	2	true	GAMG	1.000000e+00	3.502240e-03	6	true
2             	smoothSolver	4.977420e-01	4.368550e-02	4	5.826020e-01	5.353360e-02	4	4.543220e-01	4.121170e-02	5	false	smoothSolver	4.622770e-01	4.480300e-02	1	true	smoothSolver	2.574100e-03	1.413840e-04	2	true	GAMG	4.577550e-03	3.285730e-05	5	true
3             	smoothSolver	2.521120e-01	2.323950e-02	5	4.078350e-01	3.941150e-02	4	2.874860e-01	2.080100e-02	6	false	smoothSolver	2.090590e-01	3.588340e-03	2	true	smoothSolver	2.284510e-03	1.143500e-04	2	true	GAMG	2.712920e-03	2.544980e-05	3	true
4             	smoothSolver	1.596850e-01	1.542240e-02	5	2.488780e-01	1.817360e-02	5	1.720460e-01	1.400940e-02	6	false	smoothSolver	1.292040e-01	2.330520e-03	2	true	smoothSolver	2.083390e-03	9.728760e-05	2	true	GAMG	2.604890e-03	2.341740e-05	3	true
5             	smoothSolver	1.142170e-01	1.117380e-02	5	1.599070e-01	1.263150e-02	5	1.227980e-01	1.061260e-02	6	false	smoothSolver	9.142140e-02	1.726090e-03	2	true	smoothSolver	1.924570e-03	8.526810e-05	2	true	GAMG	2.549850e-03	1.883380e-05	3	true
6             	smoothSolver	8.760230e-02	8.615170e-03	5	1.176930e-01	9.793110e-03	5	9.957960e-02	8.797460e-03	6	false	smoothSolver	6.957460e-02	1.371280e-03	2	true	smoothSolver	1.792990e-03	7.617190e-05	2	true	GAMG	2.553320e-03	1.441390e-05	3	true
7             	smoothSolver	7.036720e-02	6.917480e-03	5	9.838180e-02	8.079390e-03	5	8.746790e-02	7.653530e-03	6	false	smoothSolver	5.537680e-02	1.136870e-03	2	true	smoothSolver	1.682100e-03	6.895750e-05	2	true	GAMG	2.541200e-03	1.349060e-05	3	true
8             	smoothSolver	5.834240e-02	5.708970e-03	5	8.504780e-02	6.865690e-03	5	7.840300e-02	6.801170e-03	6	false	smoothSolver	4.547480e-02	9.695230e-04	2	true	smoothSolver	1.587720e-03	6.303420e-05	2	true	GAMG	2.416310e-03	1.305160e-05	3	true
9             	smoothSolver	4.955290e-02	4.805470e-03	5	7.332480e-02	5.889840e-03	5	7.126310e-02	6.109840e-03	6	false	smoothSolver	3.849240e-02	8.464470e-04	2	true	smoothSolver	1.510790e-03	5.812000e-05	2	true	GAMG	2.246660e-03	1.222470e-05	3	true
10            	smoothSolver	4.279770e-02	4.103620e-03	5	6.361770e-02	5.057630e-03	5	6.594690e-02	5.551610e-03	6	false	smoothSolver	3.333130e-02	7.529540e-04	2	true	smoothSolver	1.461950e-03	5.425880e-05	2	true	GAMG	2.076470e-03	1.116530e-05	3	true
11            	smoothSolver	3.737190e-02	3.541560e-03	5	5.584200e-02	4.361020e-03	5	6.181470e-02	5.106470e-03	6	false	smoothSolver	2.925360e-02	6.787240e-04	2	true	smoothSolver	1.450530e-03	5.150900e-05	2	true	GAMG	1.932300e-03	1.014720e-05	3	true
12            	smoothSolver	3.290600e-02	3.081570e-03	5	4.956930e-02	3.793100e-03	5	5.860440e-02	4.754930e-03	6	false	smoothSolver	2.592980e-02	6.176520e-04	2	true	smoothSolver	1.466060e-03	4.954520e-05	2	true	GAMG	1.801960e-03	9.355880e-06	3	true
13            	smoothSolver	2.918140e-02	2.699180e-03	5	4.447900e-02	3.325870e-03	5	5.596980e-02	4.464210e-03	6	false	smoothSolver	2.315320e-02	5.662630e-04	2	true	smoothSolver	1.485350e-03	4.783660e-05	2	true	GAMG	1.693580e-03	8.878620e-06	3	true
14            	smoothSolver	2.603610e-02	2.377060e-03	5	4.023740e-02	2.937720e-03	5	5.371430e-02	4.216440e-03	6	false	smoothSolver	2.080760e-02	5.225590e-04	2	true	smoothSolver	1.491860e-03	4.603160e-05	2	true	GAMG	1.596500e-03	8.632450e-06	3	true
15            	smoothSolver	2.334460e-02	2.101780e-03	5	3.673950e-02	2.615320e-03	5	5.165540e-02	3.992140e-03	6	false	smoothSolver	1.882140e-02	4.850660e-04	2	true	smoothSolver	1.480710e-03	4.403930e-05	2	true	GAMG	1.508140e-03	8.534630e-06	3	true
16            	smoothSolver	2.100830e-02	1.863430e-03	5	3.367700e-02	2.338650e-03	5	4.961480e-02	3.777120e-03	6	false	smoothSolver	1.711740e-02	4.526170e-04	2	true	smoothSolver	1.454610e-03	4.191100e-05	2	true	GAMG	1.432230e-03	8.525730e-06	3	true
17            	smoothSolver	1.895000e-02	1.654740e-03	5	3.093180e-02	2.101320e-03	5	4.751350e-02	3.562980e-03	6	false	smoothSolver	1.564370e-02	4.244770e-04	2	true	smoothSolver	1.418280e-03	3.973250e-05	2	true	GAMG	1.364230e-03	8.426730e-06	3	true
18            	smoothSolver	1.711780e-02	1.470500e-03	5	2.841460e-02	1.892830e-03	5	4.527330e-02	3.346740e-03	6	false	smoothSolver	1.436440e-02	4.000330e-04	2	true	smoothSolver	1.375980e-03	3.757150e-05	2	true	GAMG	1.304560e-03	8.219810e-06	3	true
