# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	9.533530e-02	12	1.000000e+00	9.986370e-02	11	1.000000e+00	8.710010e-02	13	false	smoothSolver	1.000000e+00	5.953480e-02	4	true	smoothSolver	1.453390e-01	9.622080e-03	3	true	GAMG	1.000000e+00	7.316780e-03	10	true
2             	smoothSolver	3.774410e-01	3.574010e-02	10	7.781770e-01	7.598240e-02	10	5.063850e-01	4.117160e-02	11	false	smoothSolver	7.922580e-01	5.370000e-02	3	true	smoothSolver	8.345060e-02	5.993390e-03	5	true	GAMG	2.409370e-01	2.025600e-03	6	true
3             	smoothSolver	3.859560e-01	3.305680e-02	7	6.054370e-01	4.920700e-02	8	4.757060e-01	4.489700e-02	8	false	smoothSolver	1.237820e-01	9.344390e-03	3	true	smoothSolver	4.086240e-02	2.481330e-03	4	true	GAMG	5.576090e-01	4.290610e-03	9	true
4             	smoothSolver	4.440460e-01	4.354890e-02	6	5.682690e-01	4.537740e-02	7	4.654640e-01	3.550670e-02	7	false	smoothSolver	7.858010e-02	5.597980e-03	3	true	smoothSolver	3.145910e-02	2.037340e-03	3	true	GAMG	9.159580e-02	7.048510e-04	10	true
5             	smoothSolver	3.342810e-01	3.127700e-02	7	4.689170e-01	4.000910e-02	7	3.316670e-01	2.567440e-02	7	false	smoothSolver	6.467780e-02	4.967280e-03	3	true	smoothSolver	2.282680e-02	1.471270e-03	3	true	GAMG	9.935440e-02	8.154560e-04	10	true
6             	smoothSolver	2.755350e-01	2.512600e-02	7	4.200760e-01	3.064750e-02	7	2.907940e-01	2.250320e-02	7	false	smoothSolver	6.905600e-02	4.898210e-03	3	true	smoothSolver	1.920160e-02	1.214750e-03	3	true	GAMG	1.245250e-01	1.115820e-03	10	true
7             	smoothSolver	2.599030e-01	2.307880e-02	7	3.882880e-01	3.090220e-02	7	2.636040e-01	2.232740e-02	7	false	smoothSolver	7.193420e-02	4.830220e-03	3	true	smoothSolver	1.785790e-02	1.054460e-03	3	true	GAMG	1.310750e-01	9.796690e-04	9	true
8             	smoothSolver	2.556820e-01	2.307010e-02	7	3.839220e-01	3.080490e-02	7	2.514350e-01	2.098440e-02	7	false	smoothSolver	7.415990e-02	4.763240e-03	3	true	smoothSolver	1.695930e-02	9.568120e-04	3	true	GAMG	1.258430e-01	1.047300e-03	9	true
9             	smoothSolver	2.515090e-01	2.256400e-02	7	3.818210e-01	2.825020e-02	7	2.454370e-01	1.960900e-02	7	false	smoothSolver	7.170430e-02	4.230040e-03	3	true	smoothSolver	1.572520e-02	8.607200e-04	3	true	GAMG	1.307650e-01	1.088140e-03	9	true
10            	smoothSolver	2.381250e-01	2.088570e-02	7	3.706540e-01	3.516380e-02	6	2.450690e-01	1.911580e-02	7	false	smoothSolver	6.734870e-02	3.915960e-03	3	true	smoothSolver	1.464320e-02	8.368850e-04	3	true	GAMG	1.281690e-01	1.110410e-03	9	true
11            	smoothSolver	2.222040e-01	1.933290e-02	7	3.489920e-01	3.343670e-02	6	2.433680e-01	1.882650e-02	7	false	smoothSolver	6.366670e-02	3.696890e-03	3	true	smoothSolver	1.353930e-02	7.838300e-04	3	true	GAMG	1.176460e-01	1.025240e-03	9	true
12            	smoothSolver	1.990210e-01	1.724420e-02	7	3.347940e-01	3.199580e-02	6	2.337820e-01	1.773740e-02	7	false	smoothSolver	6.164190e-02	3.473110e-03	3	true	smoothSolver	1.251250e-02	7.075710e-04	3	true	GAMG	1.114650e-01	9.462940e-04	9	true
13            	smoothSolver	1.791080e-01	1.551310e-02	7	3.197760e-01	3.047480e-02	6	2.194380e-01	2.180690e-02	6	false	smoothSolver	5.861260e-02	3.188080e-03	3	true	smoothSolver	1.147870e-02	6.369040e-04	3	true	GAMG	1.041870e-01	8.783130e-04	9	true
14            	smoothSolver	1.603940e-01	1.383650e-02	7	3.046340e-01	3.015260e-02	6	2.021240e-01	1.509440e-02	7	false	smoothSolver	5.413840e-02	2.797220e-03	3	true	smoothSolver	1.058030e-02	5.692880e-04	3	true	GAMG	9.617660e-02	8.371380e-04	9	true
15            	smoothSolver	1.450040e-01	1.243230e-02	7	2.907750e-01	2.275890e-02	7	1.836660e-01	1.408570e-02	7	false	smoothSolver	5.021540e-02	2.514890e-03	3	true	smoothSolver	9.703310e-03	5.185910e-04	3	true	GAMG	9.152530e-02	7.144000e-04	9	true
16            	smoothSolver	1.304240e-01	1.119070e-02	7	2.783440e-01	2.221300e-02	7	1.678720e-01	1.285270e-02	7	false	smoothSolver	4.646450e-02	2.230000e-03	3	true	smoothSolver	8.777590e-03	4.752210e-04	3	true	GAMG	8.789570e-02	8.061270e-04	8	true
17            	smoothSolver	1.174470e-01	1.009900e-02	7	2.672650e-01	2.142960e-02	7	1.549510e-01	1.176820e-02	7	false	smoothSolver	4.333030e-02	2.062350e-03	3	true	smoothSolver	8.079700e-03	4.487850e-04	3	true	GAMG	8.582140e-02	8.067810e-04	8	true
18            	smoothSolver	1.060880e-01	9.168510e-03	7	2.578930e-01	2.041680e-02	7	1.444770e-01	1.093620e-02	7	false	smoothSolver	4.013110e-02	1.899700e-03	3	true	smoothSolver	7.320340e-03	4.066180e-04	3	true	GAMG	8.343830e-02	6.893810e-04	9	true
19            	smoothSolver	9.672790e-02	8.302550e-03	7	2.463420e-01	1.910040e-02	7	1.372100e-01	1.038970e-02	7	false	smoothSolver	3.761880e-02	1.769460e-03	3	true	smoothSolver	6.609400e-03	3.692470e-04	3	true	GAMG	8.034210e-02	7.663560e-04	9	true
